id,category,value,amount
1,B,24.44,32244.52
2,C,32.35,7291.83
3,A,16.66,13583.23
4,C,22.45,86464.25
5,C,19.42,3436.71
6,A,8.16,23489.82
7,A,21.87,73849.62
8,E,18.39,64689.33
9,D,13.62,42927.27
10,C,28.44,22349.76
11,D,16.91,84986.65
12,B,22.34,16482.2
13,B,18.67,21103.91
14,A,16.42,4080.96
15,A,19.16,30051.7
16,E,23.97,16045.78
17,E,16.55,22023.68
18,A,11.74,2280.38
19,B,28.98,6719.02
20,A,22.2,18899.29
21,C,15.2,6527.25
22,D,19.54,41705.28
23,C,12.18,174302.41
24,A,19.67,21093.52
25,D,24.3,33669.4
26,D,10.34,13898.37
27,C,24.34,13510.51
28,B,24.04,4999.22
29,E,18.64,36052.48
30,A,20.51,5572.01
31,A,18.33,12403.04
32,B,17.77,11452.92
33,B,10.69,5987.87
34,D,28.15,9891.55
35,D,16.64,17572.1
36,D,20.67,56182.69
37,D,18.86,19354.86
38,A,22.28,70724.06
39,D,22.84,27085.09
40,B,14.89,22161.6
41,C,21.81,31201.59
42,B,18.65,14448.4
43,E,15.58,47569.13
44,A,26.49,21993.38
45,C,25.89,21492.34
46,D,15.48,113972.63
47,D,18.49,8299.59
48,A,14.95,7306.88
49,E,14.31,17890.97
50,B,15.09,25791.11
51,C,22.77,14061.76
52,B,12.92,46989.35
53,A,12.69,27103.58
54,B,21.44,27739.6
55,B,16.4,5448.01
56,C,26.15,102986.82
57,A,15.2,21344.06
58,E,17.57,8228.18
59,A,16.12,76093.8
60,C,8.43,19653.54
61,B,21.74,9771.17
62,B,23.48,6741.48
63,E,24.78,20012.49
64,E,19.06,10758.47
65,D,23.34,7644.05
66,B,19.23,18492.92
67,A,19.53,16096.54
68,C,15.99,11782.37
69,A,19.21,51191.52
70,C,15.28,87744.87
71,A,23.0,83998.65
72,A,16.63,14115.85
73,C,14.77,12216.83
74,B,19.46,4325.13
75,E,19.71,15709.16
76,B,11.55,7887.59
77,C,14.65,24310.13
78,B,17.07,15591.17
79,D,21.91,38133.61
80,B,22.6,19472.02
81,B,23.91,32056.71
82,C,18.67,37205.99
83,E,15.82,1865.58
84,C,12.8,7501.92
85,D,20.49,26128.64
86,D,17.91,20520.5
87,B,22.08,24820.27
88,C,24.95,12554.39
89,B,29.91,41498.48
90,D,15.58,13002.45
91,B,22.77,15873.89
92,E,11.69,10855.12
93,B,25.17,40385.86
94,B,13.89,45507.09
95,E,19.31,19485.33
96,E,14.48,29375.16
97,C,27.76,2653.03
98,E,22.74,52873.52
99,E,24.47,2869.34
100,D,19.29,11333.48
